LAST SEEN   TYPE      REASON                         OBJECT                                        MESSAGE
27s         Normal    ScalingReplicaSet              deployment/auth-users                         Scaled up replica set auth-users-799b8b5664 from 0 to 1
27s         Normal    ScalingReplicaSet              deployment/auth-users                         Scaled up replica set auth-users-c4b94d64b from 0 to 1
27s         Normal    SuccessfulCreate               replicaset/postgres-auth-867ddc6dc8           Created pod: postgres-auth-867ddc6dc8-w9xgr
27s         Normal    SuccessfulCreate               replicaset/chatbot-manager-779b7cc44b         Created pod: chatbot-manager-779b7cc44b-bskxh
27s         Normal    ScalingReplicaSet              deployment/chatbot-manager                    Scaled up replica set chatbot-manager-779b7cc44b from 0 to 1
27s         Normal    Scheduled                      pod/postgres-auth-867ddc6dc8-w9xgr            Successfully assigned securerag-hub/postgres-auth-867ddc6dc8-w9xgr to securerag-dev-worker
27s         Normal    SuccessfulCreate               replicaset/audit-security-service-5fddbb654   Created pod: audit-security-service-5fddbb654-n5ltk
27s         Normal    Scheduled                      pod/chatbot-manager-779b7cc44b-bskxh          Successfully assigned securerag-hub/chatbot-manager-779b7cc44b-bskxh to securerag-dev-worker
27s         Normal    ScalingReplicaSet              deployment/portal-web                         Scaled up replica set portal-web-68d97f97f from 0 to 1
27s         Normal    ScalingReplicaSet              deployment/portal-web                         Scaled up replica set portal-web-6ff6cd4545 from 0 to 1
27s         Normal    SuccessfulCreate               replicaset/portal-web-6ff6cd4545              Created pod: portal-web-6ff6cd4545-swmh5
27s         Normal    Scheduled                      pod/portal-web-6ff6cd4545-swmh5               Successfully assigned securerag-hub/portal-web-6ff6cd4545-swmh5 to securerag-dev-worker
27s         Normal    SuccessfulCreate               replicaset/portal-web-68d97f97f               Created pod: portal-web-68d97f97f-2sjcd
27s         Normal    SuccessfulCreate               replicaset/auth-users-799b8b5664              Created pod: auth-users-799b8b5664-whwzb
27s         Normal    ScalingReplicaSet              deployment/audit-security-service             Scaled up replica set audit-security-service-5fddbb654 from 0 to 1
27s         Normal    Scheduled                      pod/audit-security-service-5fddbb654-n5ltk    Successfully assigned securerag-hub/audit-security-service-5fddbb654-n5ltk to securerag-dev-worker
27s         Normal    Scheduled                      pod/auth-users-799b8b5664-whwzb               Successfully assigned securerag-hub/auth-users-799b8b5664-whwzb to securerag-dev-worker
27s         Normal    Scheduled                      pod/portal-web-68d97f97f-2sjcd                Successfully assigned securerag-hub/portal-web-68d97f97f-2sjcd to securerag-dev-worker
27s         Normal    SuccessfulCreate               replicaset/auth-users-c4b94d64b               Created pod: auth-users-c4b94d64b-t6k79
27s         Normal    ScalingReplicaSet              deployment/conversation-service               Scaled up replica set conversation-service-778479dbbf from 0 to 1
27s         Normal    ScalingReplicaSet              deployment/postgres-auth                      Scaled up replica set postgres-auth-867ddc6dc8 from 0 to 1
27s         Normal    Scheduled                      pod/conversation-service-778479dbbf-wwfcx     Successfully assigned securerag-hub/conversation-service-778479dbbf-wwfcx to securerag-dev-worker
27s         Normal    SuccessfulCreate               replicaset/conversation-service-778479dbbf    Created pod: conversation-service-778479dbbf-wwfcx
27s         Normal    Scheduled                      pod/auth-users-c4b94d64b-t6k79                Successfully assigned securerag-hub/auth-users-c4b94d64b-t6k79 to securerag-dev-worker
26s         Normal    Scheduled                      pod/conversation-service-64f99b44db-6n2vv     Successfully assigned securerag-hub/conversation-service-64f99b44db-6n2vv to securerag-dev-worker
26s         Normal    Scheduled                      pod/audit-security-service-b478dc875-b5s9d    Successfully assigned securerag-hub/audit-security-service-b478dc875-b5s9d to securerag-dev-worker
26s         Normal    SuccessfulCreate               replicaset/chatbot-manager-976899cb8          Created pod: chatbot-manager-976899cb8-jprbg
26s         Warning   Failed                         pod/auth-users-799b8b5664-whwzb               Error: ImagePullBackOff
26s         Normal    SuccessfulCreate               replicaset/conversation-service-64f99b44db    Created pod: conversation-service-64f99b44db-6n2vv
